Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;3.1.-Agresión sexual;2010;4.004
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2023;4.052
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2022;3.410
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2021;3.128
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2020;2.364
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2019;2.554
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2018;2.318
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2017;1.760
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2016;1.514
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2015;1.399
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2014;1.325
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2013;1.395
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2012;1.326
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2011;1.519
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2010;1.670
TOTAL NACIONAL;5.1.-Hurtos;2023;132.759
TOTAL NACIONAL;5.1.-Hurtos;2022;113.226
TOTAL NACIONAL;5.1.-Hurtos;2021;89.799
TOTAL NACIONAL;5.1.-Hurtos;2020;77.262
TOTAL NACIONAL;5.1.-Hurtos;2019;111.318
TOTAL NACIONAL;5.1.-Hurtos;2018;109.908
TOTAL NACIONAL;5.1.-Hurtos;2017;109.895
TOTAL NACIONAL;5.1.-Hurtos;2016;109.627
TOTAL NACIONAL;5.1.-Hurtos;2015;111.625
TOTAL NACIONAL;5.1.-Hurtos;2014;120.763
TOTAL NACIONAL;5.1.-Hurtos;2013;126.519
TOTAL NACIONAL;5.1.-Hurtos;2012;117.459
TOTAL NACIONAL;5.1.-Hurtos;2011;109.396
TOTAL NACIONAL;5.1.-Hurtos;2010;105.448
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;10.438
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;9.060
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;7.742
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;6.103
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;8.567
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;8.272
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;10.239
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;10.574
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;9.754
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;11.754
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;13.496
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2012;13.354
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2011;14.786
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2010;14.007
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2023;11.762
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2022;10.927
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2021;10.004
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2020;10.753
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2019;10.775
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2018;12.028
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2017;13.030
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2016;13.715
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2015;12.995
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2014;16.754
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2013;18.416
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2012;13.643
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2011;10.737
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2010;12.948
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2023;9.411
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2022;8.086
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2021;7.145
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2020;7.570
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2019;7.461
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2018;7.005
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2017;7.789
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2016;7.900
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2015;7.448
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2014;8.235
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2013;9.040
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2012;8.198
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2011;8.548
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2010;9.832
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2023;12.405
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2022;10.911
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2021;8.999
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2020;7.998
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2019;6.927
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2018;5.996
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2017;6.463
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2016;6.737
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2015;6.414
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2014;7.558
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2013;8.937
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2012;9.278
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2011;8.516
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2010;9.330
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2023;1.646
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2022;1.492
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2021;1.479
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2020;1.351
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2019;1.181
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2018;1.154
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2017;1.119
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2016;1.169
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2015;1.195
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2014;1.334
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2013;1.641
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2012;1.420
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2011;1.205
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2010;1.211
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2023;5.101
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2022;4.508
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2021;3.644
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2020;3.558
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2019;3.129
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2018;2.954
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2017;2.901
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2016;2.625
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2015;2.500
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2014;2.791
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2013;3.245
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2012;2.965
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2011;2.898
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2010;3.474
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;61
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;74
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;50
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;67
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;75
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;67
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2017;52
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2016;62
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2015;61
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2014;63
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2013;55
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2012;66
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2011;77
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2010;80
ANDALUCÍA;1.2.-Lesiones;2023;20.241
ANDALUCÍA;1.2.-Lesiones;2022;18.851
ANDALUCÍA;1.2.-Lesiones;2021;16.477
ANDALUCÍA;1.2.-Lesiones;2020;14.592
ANDALUCÍA;1.2.-Lesiones;2019;17.105
ANDALUCÍA;1.2.-Lesiones;2018;16.429
ANDALUCÍA;1.2.-Lesiones;2017;16.767
ANDALUCÍA;1.2.-Lesiones;2016;16.117
ANDALUCÍA;1.2.-Lesiones;2015;16.389
ANDALUCÍA;1.2.-Lesiones;2014;17.083
ANDALUCÍA;1.2.-Lesiones;2013;17.566
ANDALUCÍA;1.2.-Lesiones;2012;18.117
ANDALUCÍA;1.2.-Lesiones;2011;18.669
ANDALUCÍA;1.2.-Lesiones;2010;19.331
ANDALUCÍA;3.1.-Agresión sexual;2023;1.713
ANDALUCÍA;3.1.-Agresión sexual;2022;1.589
ANDALUCÍA;3.1.-Agresión sexual;2021;1.386
ANDALUCÍA;3.1.-Agresión sexual;2020;1.083
ANDALUCÍA;3.1.-Agresión sexual;2019;1.244
ANDALUCÍA;3.1.-Agresión sexual;2018;1.181
ANDALUCÍA;3.1.-Agresión sexual;2017;953
ANDALUCÍA;3.1.-Agresión sexual;2016;866
ANDALUCÍA;3.1.-Agresión sexual;2015;734
ANDALUCÍA;3.1.-Agresión sexual;2014;742
ANDALUCÍA;3.1.-Agresión sexual;2013;729
ANDALUCÍA;3.1.-Agresión sexual;2012;734
ANDALUCÍA;3.1.-Agresión sexual;2011;778
ANDALUCÍA;3.1.-Agresión sexual;2010;769
ANDALUCÍA;3.2.-Agresión sexual con penetración;2023;537
ANDALUCÍA;3.2.-Agresión sexual con penetración;2022;439
ANDALUCÍA;3.2.-Agresión sexual con penetración;2021;394
ANDALUCÍA;3.2.-Agresión sexual con penetración;2020;332
ANDALUCÍA;3.2.-Agresión sexual con penetración;2019;354
ANDALUCÍA;3.2.-Agresión sexual con penetración;2018;284
ANDALUCÍA;3.2.-Agresión sexual con penetración;2017;238
ANDALUCÍA;3.2.-Agresión sexual con penetración;2016;226
ANDALUCÍA;3.2.-Agresión sexual con penetración;2015;207
ANDALUCÍA;3.2.-Agresión sexual con penetración;2014;181
ANDALUCÍA;3.2.-Agresión sexual con penetración;2013;213
ANDALUCÍA;3.2.-Agresión sexual con penetración;2012;216
ANDALUCÍA;3.2.-Agresión sexual con penetración;2011;240
ANDALUCÍA;3.2.-Agresión sexual con penetración;2010;247
ANDALUCÍA;5.1.-Hurtos;2023;22.455
ANDALUCÍA;5.1.-Hurtos;2022;18.910
ANDALUCÍA;5.1.-Hurtos;2021;15.117
ANDALUCÍA;5.1.-Hurtos;2020;12.869
ANDALUCÍA;5.1.-Hurtos;2019;18.160
ANDALUCÍA;5.1.-Hurtos;2018;18.258
ANDALUCÍA;5.1.-Hurtos;2017;19.097
ANDALUCÍA;5.1.-Hurtos;2016;19.124
ANDALUCÍA;5.1.-Hurtos;2015;20.281
ANDALUCÍA;5.1.-Hurtos;2014;22.250
ANDALUCÍA;5.1.-Hurtos;2013;22.824
ANDALUCÍA;5.1.-Hurtos;2012;21.658
ANDALUCÍA;5.1.-Hurtos;2011;19.394
ANDALUCÍA;5.1.-Hurtos;2010;18.730
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;2.331
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;2.033
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;1.797
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;1.543
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;1.701
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;2.043
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;2.515
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;2.380
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;2.128
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;2.220
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;2.682
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2012;2.741
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2011;2.994
ANDALUCÍA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2010;2.743
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2023;2.641
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2022;2.518
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2021;2.297
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2020;2.162
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2019;2.551
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2018;2.797
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2017;3.204
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2016;3.162
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2015;3.156
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2014;3.582
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2013;4.436
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2012;3.571
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2011;3.001
ANDALUCÍA;5.2.2.-Robos con fuerza en viviendas;2010;3.663
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2023;2.089
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2022;1.731
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2021;1.565
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2020;1.556
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2019;1.814
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2018;1.958
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2017;1.882
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2016;1.783
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2015;1.757
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2014;1.728
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2013;1.933
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2012;1.907
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2011;1.922
ANDALUCÍA;5.2.3.-Robos con fuerza en establecimientos;2010;2.326
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2023;1.862
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2022;1.849
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2021;1.542
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2020;1.303
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2019;1.647
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2018;1.454
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2017;1.610
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2016;1.613
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2015;1.652
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2014;1.917
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2013;2.188
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2012;2.308
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2011;2.137
ANDALUCÍA;5.3.1.-Robos con violencia en vía pública;2010;2.187
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2023;345
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2022;323
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2021;319
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2020;267
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2019;309
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2018;332
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2017;293
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2016;300
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2015;270
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2014;256
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2013;308
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2012;306
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2011;251
ANDALUCÍA;5.3.2.-Robos con violencia en viviendas;2010;276
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2023;831
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2022;703
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2021;552
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2020;663
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2019;755
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2018;707
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2017;697
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2016;549
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2015;552
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2014;663
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2013;776
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2012;722
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2011;657
ANDALUCÍA;5.3.3.-Robos con violencia en establecimientos;2010;929
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;8
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;10
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;5
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;4
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;7
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;7
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2017;8
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2016;9
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2015;7
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2014;5
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2013;7
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2012;7
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2011;6
ARAGÓN;1.1.1.-Homicidios dolosos/asesinatos consumados;2010;10
ARAGÓN;1.2.-Lesiones;2023;2.397
ARAGÓN;1.2.-Lesiones;2022;2.335
ARAGÓN;1.2.-Lesiones;2021;1.798
ARAGÓN;1.2.-Lesiones;2020;1.524
ARAGÓN;1.2.-Lesiones;2019;1.938
ARAGÓN;1.2.-Lesiones;2018;1.903
ARAGÓN;1.2.-Lesiones;2017;1.804
ARAGÓN;1.2.-Lesiones;2016;1.756
ARAGÓN;1.2.-Lesiones;2015;1.726
ARAGÓN;1.2.-Lesiones;2014;1.886
ARAGÓN;1.2.-Lesiones;2013;2.002
ARAGÓN;1.2.-Lesiones;2012;1.930
ARAGÓN;1.2.-Lesiones;2011;2.125
ARAGÓN;1.2.-Lesiones;2010;2.110
ARAGÓN;3.1.-Agresión sexual;2023;263
ARAGÓN;3.1.-Agresión sexual;2022;215
ARAGÓN;3.1.-Agresión sexual;2021;221
ARAGÓN;3.1.-Agresión sexual;2020;148
ARAGÓN;3.1.-Agresión sexual;2019;176
ARAGÓN;3.1.-Agresión sexual;2018;157
ARAGÓN;3.1.-Agresión sexual;2017;126
ARAGÓN;3.1.-Agresión sexual;2016;135
ARAGÓN;3.1.-Agresión sexual;2015;108
ARAGÓN;3.1.-Agresión sexual;2014;93
ARAGÓN;3.1.-Agresión sexual;2013;83
ARAGÓN;3.1.-Agresión sexual;2012;83
ARAGÓN;3.1.-Agresión sexual;2011;122
ARAGÓN;3.1.-Agresión sexual;2010;121
ARAGÓN;3.2.-Agresión sexual con penetración;2023;82
ARAGÓN;3.2.-Agresión sexual con penetración;2022;82
ARAGÓN;3.2.-Agresión sexual con penetración;2021;95
ARAGÓN;3.2.-Agresión sexual con penetración;2020;60
ARAGÓN;3.2.-Agresión sexual con penetración;2019;39
ARAGÓN;3.2.-Agresión sexual con penetración;2018;51
ARAGÓN;3.2.-Agresión sexual con penetración;2017;39
ARAGÓN;3.2.-Agresión sexual con penetración;2016;47
ARAGÓN;3.2.-Agresión sexual con penetración;2015;31
ARAGÓN;3.2.-Agresión sexual con penetración;2014;35
ARAGÓN;3.2.-Agresión sexual con penetración;2013;38
ARAGÓN;3.2.-Agresión sexual con penetración;2012;45
ARAGÓN;3.2.-Agresión sexual con penetración;2011;45
ARAGÓN;3.2.-Agresión sexual con penetración;2010;55
ARAGÓN;5.1.-Hurtos;2023;2.848
ARAGÓN;5.1.-Hurtos;2022;2.564
ARAGÓN;5.1.-Hurtos;2021;2.150
ARAGÓN;5.1.-Hurtos;2020;1.731
ARAGÓN;5.1.-Hurtos;2019;2.387
ARAGÓN;5.1.-Hurtos;2018;2.504
ARAGÓN;5.1.-Hurtos;2017;2.452
ARAGÓN;5.1.-Hurtos;2016;2.555
ARAGÓN;5.1.-Hurtos;2015;2.579
ARAGÓN;5.1.-Hurtos;2014;2.833
ARAGÓN;5.1.-Hurtos;2013;3.020
ARAGÓN;5.1.-Hurtos;2012;2.773
ARAGÓN;5.1.-Hurtos;2011;2.601
ARAGÓN;5.1.-Hurtos;2010;2.716
ARAGÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;152
ARAGÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;125
ARAGÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;127
ARAGÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;123
ARAGÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;123
ARAGÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;99
ARAGÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;160
ARAGÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;209
ARAGÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;169
ARAGÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;207
ARAGÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;211
ARAGÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2012;170
ARAGÓN;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2011;193
